id_prueba,timestamp,modo,tipo_evento,escenario,distancia_m,iluminacion,objeto_verdad,objeto_predicho,confianza,t_total_ms,latencia,acierto,notas,interaccion,audio_path,latencia_ms,t_total_ms_numeric,distancia_verdad_cm,distancia_estimada_cm,diferencia_distancia_pct,clasificacion_distancia,texto_verdad,texto_predicho
32,2025-01-01T00:00:41.844000,ESP,ESP32,2A,,,,,,00:01.0,,,"Image captured: 1024x768, 19041 bytes",,,,1,,,,,,
33,2025-01-01T00:00:42.528000,ESP,ESP32,2A,,,,,,00:00.7,,,"Image captured: 1024x768, 21112 bytes",,,,0.7,,,,,,
34,2025-01-01T00:00:42.899000,ESP,ESP32,2A,,,,,,00:00.4,,,"Image captured: 1024x768, 18935 bytes",,,,0.4,,,,,,
35,2025-01-01T00:00:43.648000,ESP,ESP32,2A,,,,,,00:00.7,,,"Image captured: 1024x768, 21567 bytes",,,,0.7,,,,,,
36,2025-01-01T00:00:43.953000,ESP,ESP32,2A,,,,,,00:00.3,,,"Image captured: 1024x768, 19292 bytes",,,,0.3,,,,,,
37,2025-01-01T00:00:45.132000,ESP,ESP32,2A,,,,,,00:01.2,,,"Image captured: 1024x768, 18606 bytes",,,,1.2,,,,,,
38,2025-01-01T00:00:46.205000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 19959 bytes",,,,1.1,,,,,,
39,2025-01-01T00:00:47.204000,ESP,ESP32,2A,,,,,,00:01.0,,,"Image captured: 1024x768, 21264 bytes",,,,1,,,,,,
40,2025-01-01T00:00:47.760000,ESP,ESP32,2A,,,,,,00:00.6,,,"Image captured: 1024x768, 20314 bytes",,,,0.6,,,,,,
41,2025-01-01T00:00:48.823000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 21243 bytes",,,,1.1,,,,,,
42,2025-01-01T00:00:50.275000,ESP,ESP32,2A,,,,,,00:01.5,,,"Image captured: 1024x768, 21859 bytes",,,,1.5,,,,,,
43,2025-01-01T00:00:50.392000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 21762 bytes",,,,0.1,,,,,,
44,2025-01-01T00:00:51.459000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 21042 bytes",,,,1.1,,,,,,
45,2025-01-01T00:00:51.487000,ESP,ESP32,2A,,,,,,00:00.0,,,"Image captured: 1024x768, 20683 bytes",,,,0,,,,,,
46,2025-01-01T00:00:51.773000,ESP,ESP32,"3.3, 3.4",,,,,,00:00.3,,,"Image captured: 1024x768, 16345 bytes",,,,0.3,,,,,,
47,2025-01-01T00:00:52.518000,ESP,ESP32,2A,,,,,,00:00.7,,,"Image captured: 1024x768, 22685 bytes",,,,0.7,,,,,,
48,2025-01-01T00:00:52.677000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.2,,,"Image captured: 1024x768, 46609 bytes",,,,0.2,,,,,,
49,2025-01-01T00:00:53.567000,ESP,ESP32,2A,,,,,,00:00.9,,,"Image captured: 1024x768, 22917 bytes",,,,0.9,,,,,,
50,2025-01-01T00:00:54.076000,ESP,ESP32,2A,,,,,,00:00.5,,,"Image captured: 1024x768, 23187 bytes",,,,0.5,,,,,,
51,2025-01-01T00:00:55.068000,ESP,ESP32,2A,,,,,,00:01.0,,,"Image captured: 1024x768, 16117 bytes",,,,1,,,,,,
52,2025-01-01T00:00:55.135000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 22210 bytes",,,,0.1,,,,,,
53,2025-01-01T00:00:55.714000,ESP,ESP32,2A,,,,,,00:00.6,,,"Image captured: 1024x768, 22153 bytes",,,,0.6,,,,,,
54,2025-01-01T00:00:55.784000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 15997 bytes",,,,0.1,,,,,,
55,2025-01-01T00:00:56.621000,ESP,ESP32,2A,,,,,,00:00.8,,,"Image captured: 1024x768, 16117 bytes",,,,0.8,,,,,,
56,2025-01-01T00:00:56.776000,ESP,ESP32,2A,,,,,,00:00.2,,,"Image captured: 1024x768, 22897 bytes",,,,0.2,,,,,,
57,2025-01-01T00:00:57.190000,ESP,ESP32,2A,,,,,,00:00.4,,,"Image captured: 1024x768, 21569 bytes",,,,0.4,,,,,,
58,2025-01-01T00:00:57.345000,ESP,ESP32,2A,,,,,,00:00.2,,,"Image captured: 1024x768, 16134 bytes",,,,0.2,,,,,,
59,2025-01-01T00:00:57.673000,ESP,ESP32,2A,,,,,,00:00.3,,,"Image captured: 1024x768, 19007 bytes",,,,0.3,,,,,,
60,2025-01-01T00:00:57.897000,ESP,ESP32,2A,,,,,,00:00.2,,,"Image captured: 1024x768, 20189 bytes",,,,0.2,,,,,,
61,2025-01-01T00:00:58.245000,ESP,ESP32,2A,,,,,,00:00.3,,,"Image captured: 1024x768, 20205 bytes",,,,0.3,,,,,,
62,2025-01-01T00:00:58.734000,ESP,ESP32,2A,,,,,,00:00.5,,,"Image captured: 1024x768, 19552 bytes",,,,0.5,,,,,,
63,2025-01-01T00:00:58.958000,ESP,ESP32,2A,,,,,,00:00.2,,,"Image captured: 1024x768, 19636 bytes",,,,0.2,,,,,,
64,2025-01-01T00:00:59.307000,ESP,ESP32,2A,,,,,,00:00.3,,,"Image captured: 1024x768, 21388 bytes",,,,0.3,,,,,,
65,2025-01-01T00:00:59.792000,ESP,ESP32,2A,,,,,,00:00.5,,,"Image captured: 1024x768, 19256 bytes",,,,0.5,,,,,,
66,2025-01-01T00:00:59.838000,ESP,ESP32,2A,,,,,,00:00.0,,,"Image captured: 1024x768, 24288 bytes",,,,0,,,,,,
67,2025-01-01T00:01:00.084000,ESP,ESP32,2A,,,,,,00:00.2,,,"Image captured: 1024x768, 19431 bytes",,,,0.2,,,,,,
68,2025-01-01T00:01:00.645000,ESP,ESP32,2A,,,,,,00:00.6,,,"Image captured: 1024x768, 19499 bytes",,,,0.6,,,,,,
69,2025-01-01T00:01:00.844000,ESP,ESP32,2A,,,,,,00:00.2,,,"Image captured: 1024x768, 19385 bytes",,,,0.2,,,,,,
70,2025-01-01T00:01:00.874000,ESP,ESP32,2A,,,,,,00:00.0,,,"Image captured: 1024x768, 21098 bytes",,,,0,,,,,,
71,2025-01-01T00:01:01.395000,ESP,ESP32,2A,,,,,,00:00.5,,,"Image captured: 1024x768, 24260 bytes",,,,0.5,,,,,,
72,2025-01-01T00:01:01.448000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 15987 bytes",,,,0.1,,,,,,
73,2025-01-01T00:01:01.712000,ESP,ESP32,2A,,,,,,00:00.3,,,"Image captured: 1024x768, 19169 bytes",,,,0.3,,,,,,
74,2025-01-01T00:01:01.910000,ESP,ESP32,2A,,,,,,00:00.2,,,"Image captured: 1024x768, 19180 bytes",,,,0.2,,,,,,
75,2025-01-01T00:01:01.940000,ESP,ESP32,2A,,,,,,00:00.0,,,"Image captured: 1024x768, 20750 bytes",,,,0,,,,,,
76,2025-01-01T00:01:02.781000,ESP,ESP32,2A,,,,,,00:00.8,,,"Image captured: 1024x768, 18151 bytes",,,,0.8,,,,,,
77,2025-01-01T00:01:03.005000,ESP,ESP32,2A,,,,,,00:00.2,,,"Image captured: 1024x768, 23253 bytes",,,,0.2,,,,,,
78,2025-01-01T00:01:03.463000,ESP,ESP32,2A,,,,,,00:00.5,,,"Image captured: 1024x768, 18422 bytes",,,,0.5,,,,,,
79,2025-01-01T00:01:03.874000,ESP,ESP32,2A,,,,,,00:00.4,,,"Image captured: 1024x768, 18203 bytes",,,,0.4,,,,,,
80,2025-01-01T00:01:04.519000,ESP,ESP32,2A,,,,,,00:00.6,,,"Image captured: 1024x768, 18723 bytes",,,,0.6,,,,,,
81,2025-01-01T00:01:04.561000,ESP,ESP32,2A,,,,,,00:00.0,,,"Image captured: 1024x768, 21896 bytes",,,,0,,,,,,
82,2025-01-01T00:01:05.346000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.8,,,"Image captured: 1024x768, 46221 bytes",,,,0.8,,,,,,
83,2025-01-01T00:01:05.440000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 18207 bytes",,,,0.1,,,,,,
84,2025-01-01T00:01:05.572000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 22588 bytes",,,,0.1,,,,,,
85,2025-01-01T00:01:05.615000,ESP,ESP32,2A,,,,,,00:00.0,,,"Image captured: 1024x768, 22278 bytes",,,,0,,,,,,
86,2025-01-01T00:01:06.086000,ESP,ESP32,2A,,,,,,00:00.5,,,"Image captured: 1024x768, 19988 bytes",,,,0.5,,,,,,
87,2025-01-01T00:01:06.680000,ESP,ESP32,2A,,,,,,00:00.6,,,"Image captured: 1024x768, 21642 bytes",,,,0.6,,,,,,
88,2025-01-01T00:01:07.141000,ESP,ESP32,2A,,,,,,00:00.5,,,"Image captured: 1024x768, 20174 bytes",,,,0.5,,,,,,
89,2025-01-01T00:01:07.458000,ESP,ESP32,2A,,,,,,00:00.3,,,"Image captured: 1024x768, 24969 bytes",,,,0.3,,,,,,
90,2025-01-01T00:01:08.137000,ESP,ESP32,2A,,,,,,00:00.7,,,"Image captured: 1024x768, 22959 bytes",,,,0.7,,,,,,
91,2025-01-01T00:01:08.234000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 20418 bytes",,,,0.1,,,,,,
92,2025-01-01T00:01:08.360000,ESP,ESP32,"3.3, 3.4",,,,,,00:00.1,,,"Image captured: 1024x768, 16669 bytes",,,,0.1,,,,,,
93,2025-01-01T00:01:09.211000,ESP,ESP32,2A,,,,,,00:00.9,,,"Image captured: 1024x768, 23916 bytes",,,,0.9,,,,,,
94,2025-01-01T00:01:09.291000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 20297 bytes",,,,0.1,,,,,,
95,2025-01-01T00:01:10.274000,ESP,ESP32,2A,,,,,,00:01.0,,,"Image captured: 1024x768, 20678 bytes",,,,1,,,,,,
96,2025-01-01T00:01:11.354000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 20612 bytes",,,,1.1,,,,,,
97,2025-01-01T00:01:11.843000,ESP,ESP32,2A,,,,,,00:00.5,,,"Image captured: 1024x768, 20002 bytes",,,,0.5,,,,,,
98,2025-01-01T00:01:12.898000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 19306 bytes",,,,1.1,,,,,,
99,2025-01-01T00:01:13.050000,ESP,ESP32,2A,,,,,,00:00.2,,,"Image captured: 1024x768, 16008 bytes",,,,0.2,,,,,,
100,2025-01-01T00:01:13.955000,ESP,ESP32,2A,,,,,,00:00.9,,,"Image captured: 1024x768, 20091 bytes",,,,0.9,,,,,,
101,2025-01-01T00:01:15.025000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 20385 bytes",,,,1.1,,,,,,
102,2025-01-01T00:01:16.079000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 20227 bytes",,,,1.1,,,,,,
103,2025-01-01T00:01:16.514000,ESP,ESP32,2A,,,,,,00:00.4,,,"Image captured: 1024x768, 16158 bytes",,,,0.4,,,,,,
104,2025-01-01T00:01:17.636000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 20027 bytes",,,,1.1,,,,,,
105,2025-01-01T00:01:23.698000,ESP,ESP32,2A,,,,,,00:06.1,,,"Image captured: 1024x768, 20998 bytes",,,,6.1,,,,,,
106,2025-01-01T00:01:23.941000,ESP,ESP32,"3.3, 3.4",,,,,,00:00.2,,,"Image captured: 1024x768, 22234 bytes",,,,0.2,,,,,,
107,2025-01-01T00:01:24.074000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 26062 bytes",,,,0.1,,,,,,
108,2025-01-01T00:01:24.124000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 21668 bytes",,,,0.1,,,,,,
109,2025-01-01T00:01:27.635000,ESP,ESP32,2A,,,,,,00:03.5,,,"Image captured: 1024x768, 16017 bytes",,,,3.5,,,,,,
110,2025-01-01T00:01:27.762000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 640x480, 12827 bytes",,,,0.1,,,,,,
111,2025-01-01T00:01:29.796000,ESP,ESP32,2A,,,,,,00:02.0,,,"Image captured: 640x480, 16353 bytes",,,,2,,,,,,
112,2025-01-01T00:01:32.823000,ESP,ESP32,2A,,,,,,00:03.0,,,"Image captured: 640x480, 24392 bytes",,,,3,,,,,,
113,2025-01-01T00:01:32.989000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.2,,,"Image captured: 1024x768, 44514 bytes",,,,0.2,,,,,,
114,2025-01-01T00:01:34.196000,ESP,ESP32,2A,,,,,,00:01.2,,,"Image captured: 1024x768, 20228 bytes",,,,1.2,,,,,,
115,2025-01-01T00:01:34.610000,ESP,ESP32,2A,,,,,,00:00.4,,,"Image captured: 1024x768, 16861 bytes",,,,0.4,,,,,,
116,2025-01-01T00:01:35.689000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:01.1,,,"Image captured: 1024x768, 43774 bytes",,,,1.1,,,,,,
117,2025-01-01T00:01:37.777000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:02.1,,,"Image captured: 1024x768, 36952 bytes",,,,2.1,,,,,,
118,2025-01-01T00:01:38.532000,ESP,ESP32,"3.3, 3.4",,,,,,00:00.8,,,"Image captured: 1024x768, 24480 bytes",,,,0.8,,,,,,
119,2025-01-01T00:01:39.609000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 16121 bytes",,,,1.1,,,,,,
120,2025-01-01T00:01:41.352000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:01.7,,,"Image captured: 1024x768, 35013 bytes",,,,1.7,,,,,,
121,2025-01-01T00:01:41.663000,ESP,ESP32,2A,,,,,,00:00.3,,,"Image captured: 1024x768, 17069 bytes",,,,0.3,,,,,,
122,2025-01-01T00:01:42.716000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 23967 bytes",,,,1.1,,,,,,
123,2025-01-01T00:01:43.822000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 21927 bytes",,,,1.1,,,,,,
124,2025-01-01T00:01:44.717000,ESP,ESP32,2A,,,,,,00:00.9,,,"Image captured: 1024x768, 16284 bytes",,,,0.9,,,,,,
125,2025-01-01T00:01:44.882000,ESP,ESP32,2A,,,,,,00:00.2,,,"Image captured: 1024x768, 25578 bytes",,,,0.2,,,,,,
126,2025-01-01T00:01:44.966000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.1,,,"Image captured: 1024x768, 39301 bytes",,,,0.1,,,,,,
127,2025-01-01T00:01:45.953000,ESP,ESP32,2A,,,,,,00:01.0,,,"Image captured: 1024x768, 25276 bytes",,,,1,,,,,,
128,2025-01-01T00:01:47.015000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 23903 bytes",,,,1.1,,,,,,
129,2025-01-01T00:01:47.280000,ESP,ESP32,2A,,,,,,00:00.3,,,"Image captured: 1024x768, 21801 bytes",,,,0.3,,,,,,
130,2025-01-01T00:01:48.078000,ESP,ESP32,2A,,,,,,00:00.8,,,"Image captured: 1024x768, 25858 bytes",,,,0.8,,,,,,
131,2025-01-01T00:01:49.136000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 26615 bytes",,,,1.1,,,,,,
132,2025-01-01T00:01:49.204000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 23256 bytes",,,,0.1,,,,,,
133,2025-01-01T00:01:50.285000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 26366 bytes",,,,1.1,,,,,,
134,2025-01-01T00:01:51.155000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.9,,,"Image captured: 1024x768, 41957 bytes",,,,0.9,,,,,,
135,2025-01-01T00:01:52.193000,ESP,ESP32,2A,,,,,,00:01.0,,,"Image captured: 1024x768, 25416 bytes",,,,1,,,,,,
136,2025-01-01T00:01:52.618000,ESP,ESP32,"3.3, 3.4",,,,,,00:00.4,,,"Image captured: 1024x768, 25724 bytes",,,,0.4,,,,,,
137,2025-01-01T00:01:52.815000,ESP,ESP32,2A,,,,,,00:00.2,,,"Image captured: 1024x768, 20163 bytes",,,,0.2,,,,,,
138,2025-01-01T00:01:53.247000,ESP,ESP32,2A,,,,,,00:00.4,,,"Image captured: 1024x768, 25756 bytes",,,,0.4,,,,,,
139,2025-01-01T00:01:54.818000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 24981 bytes",,,,1.6,,,,,,
140,2025-01-01T00:01:54.933000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 21851 bytes",,,,0.1,,,,,,
141,2025-01-01T00:01:55.800000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.9,,,"Image captured: 1024x768, 41041 bytes",,,,0.9,,,,,,
142,2025-01-01T00:01:56.119000,ESP,ESP32,2A,,,,,,00:00.3,,,"Image captured: 1024x768, 26151 bytes",,,,0.3,,,,,,
143,2025-01-01T00:01:58.884000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:02.8,,,"Image captured: 1024x768, 41298 bytes",,,,2.8,,,,,,
144,2025-01-01T00:02:00.970000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:02.1,,,"Image captured: 1024x768, 41399 bytes",,,,2.1,,,,,,
145,2025-01-01T00:02:01.303000,ESP,ESP32,2A,,,,,,00:00.3,,,"Image captured: 1024x768, 20907 bytes",,,,0.3,,,,,,
146,2025-01-01T00:02:02.193000,ESP,ESP32,2A,,,,,,00:00.9,,,"Image captured: 1024x768, 27046 bytes",,,,0.9,,,,,,
147,2025-01-01T00:02:03.055000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.9,,,"Image captured: 1024x768, 41895 bytes",,,,0.9,,,,,,
148,2025-01-01T00:02:05.024000,ESP,ESP32,2A,,,,,,00:02.0,,,"Image captured: 1024x768, 22834 bytes",,,,2,,,,,,
149,2025-01-01T00:02:05.133000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.1,,,"Image captured: 1024x768, 42911 bytes",,,,0.1,,,,,,
150,2025-01-01T00:02:06.802000,ESP,ESP32,2A,,,,,,00:01.7,,,"Image captured: 1024x768, 19930 bytes",,,,1.7,,,,,,
151,2025-01-01T00:02:07.211000,ESP,ESP32,"3.3, 3.4",,,,,,00:00.4,,,"Image captured: 1024x768, 26478 bytes",,,,0.4,,,,,,
152,2025-01-01T00:02:07.222000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.0,,,"Image captured: 1024x768, 41550 bytes",,,,0,,,,,,
153,2025-01-01T00:02:07.328000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 27254 bytes",,,,0.1,,,,,,
154,2025-01-01T00:02:08.377000,ESP,ESP32,2A,,,,,,00:01.0,,,"Image captured: 1024x768, 26326 bytes",,,,1,,,,,,
155,2025-01-01T00:02:09.308000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.9,,,"Image captured: 1024x768, 42761 bytes",,,,0.9,,,,,,
156,2025-01-01T00:02:09.949000,ESP,ESP32,2A,,,,,,00:00.6,,,"Image captured: 1024x768, 25152 bytes",,,,0.6,,,,,,
157,2025-01-01T00:02:11.384000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:01.4,,,"Image captured: 1024x768, 42997 bytes",,,,1.4,,,,,,
158,2025-01-01T00:02:12.405000,ESP,ESP32,2A,,,,,,00:01.0,,,"Image captured: 1024x768, 20040 bytes",,,,1,,,,,,
159,2025-01-01T00:02:13.468000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:01.1,,,"Image captured: 1024x768, 43158 bytes",,,,1.1,,,,,,
160,2025-01-01T00:02:15.068000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:01.6,,,"Image captured: 1024x768, 42728 bytes",,,,1.6,,,,,,
161,2025-01-01T00:02:15.102000,ESP,ESP32,2A,,,,,,00:00.0,,,"Image captured: 1024x768, 24454 bytes",,,,0,,,,,,
162,2025-01-01T00:02:16.531000,ESP,ESP32,2A,,,,,,00:01.4,,,"Image captured: 1024x768, 25109 bytes",,,,1.4,,,,,,
163,2025-01-01T00:02:16.646000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.1,,,"Image captured: 1024x768, 43299 bytes",,,,0.1,,,,,,
164,2025-01-01T00:02:17.607000,ESP,ESP32,2A,,,,,,00:01.0,,,"Image captured: 1024x768, 27564 bytes",,,,1,,,,,,
165,2025-01-01T00:02:18.239000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.6,,,"Image captured: 1024x768, 43371 bytes",,,,0.6,,,,,,
166,2025-01-01T00:02:18.666000,ESP,ESP32,2A,,,,,,00:00.4,,,"Image captured: 1024x768, 24939 bytes",,,,0.4,,,,,,
167,2025-01-01T00:02:19.736000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 21537 bytes",,,,1.1,,,,,,
168,2025-01-01T00:02:19.811000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.1,,,"Image captured: 1024x768, 42843 bytes",,,,0.1,,,,,,
169,2025-01-01T00:02:20.788000,ESP,ESP32,2A,,,,,,00:01.0,,,"Image captured: 1024x768, 19512 bytes",,,,1,,,,,,
170,2025-01-01T00:02:20.797000,ESP,ESP32,"3.3, 3.4",,,,,,00:00.0,,,"Image captured: 1024x768, 26908 bytes",,,,0,,,,,,
171,2025-01-01T00:02:21.843000,ESP,ESP32,2A,,,,,,00:01.0,,,"Image captured: 1024x768, 19605 bytes",,,,1,,,,,,
172,2025-01-01T00:02:21.892000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.0,,,"Image captured: 1024x768, 43239 bytes",,,,0,,,,,,
173,2025-01-01T00:02:22.448000,ESP,ESP32,2A,,,,,,00:00.6,,,"Image captured: 1024x768, 20017 bytes",,,,0.6,,,,,,
174,2025-01-01T00:02:22.905000,ESP,ESP32,2A,,,,,,00:00.5,,,"Image captured: 1024x768, 21952 bytes",,,,0.5,,,,,,
